"csv_nid","csv_fid","csv_filename","csv_path","csv_mime","csv_alt","csv_title","csv_date","csv_date_y","csv_date_m"
"39804","14061","pull_quote_21st_century_2.jpeg","public://news/2018/pull_quote_21st_century_2.jpeg","image/jpeg","","","1539368692","2018","10"
"11722","2889","destinykee_edited.jpg","public://news/2018/destinykee_edited.jpg","image/jpeg","","","1536596193","2018","09"
"39819","14074","hydroguage_edit_2.jpg","public://news/2018/hydroguage_edit_2.jpg","image/jpeg","","","1539368692","2018","10"
"39842","14088","boyan_0_3.jpg","public://news/2018/boyan_0_3.jpg","image/jpeg","","","1539368692","2018","10"
"39848","14094","34132448521_d55268fca0_o_0_2.jpg","public://news/2018/34132448521_d55268fca0_o_0_2.jpg","image/jpeg","","","1539368692","2018","10"
"39854","14100","alper_erturk_2.jpeg","public://news/2018/alper_erturk_2.jpeg","image/jpeg","","","1539368692","2018","10"
"39855","14101","butera_1_2.jpg","public://news/2018/butera_1_2.jpg","image/jpeg","","","1539368692","2018","10"
"39859","14105","bcola_2.jpg","public://news/2018/bcola_2.jpg","image/jpeg","","","1539368692","2018","10"
"11721","2890","commencementvol.jpg","public://news/2018/commencementvol.jpg","image/jpeg","","","1536596193","2018","09"
"11720","2891","james_desk_0.jpg","public://news/2018/james_desk_0.jpg","image/jpeg","","","1536596193","2018","09"
"11720","2892","4y4a0737.jpg","public://news/2018/4y4a0737.jpg","image/jpeg","","","1536596193","2018","09"
"39871","14116","inventurewinners_1.jpg","public://news/2018/inventurewinners_1.jpg","image/jpeg","","","1539368692","2018","10"
"39871","14117","cauteryguard_1.jpg","public://news/2018/cauteryguard_1.jpg","image/jpeg","","","1539368692","2018","10"
"39875","14121","olatide_omojaro_3_1_2.jpg","public://news/2018/olatide_omojaro_3_1_2.jpg","image/jpeg","","","1539368692","2018","10"
"39877","14124","salzberg_1.jpg","public://news/2018/salzberg_1.jpg","image/jpeg","","","1539368692","2018","10"
"39877","14125","feigh_0_2.jpg","public://news/2018/feigh_0_2.jpg","image/jpeg","","","1539368692","2018","10"
"39877","14126","740xx_scale_9_1.jpg","public://news/2018/740xx_scale_9_1.jpg","image/jpeg","","","1539368692","2018","10"
"39883","14131","joseph_le_doux_2.jpg","public://news/2018/joseph_le_doux_2.jpg","image/jpeg","","","1539368692","2018","10"
"39883","14132","jason_weis_2.jpg","public://news/2018/jason_weis_2.jpg","image/jpeg","","","1539368692","2018","10"
"39883","14133","monali_shah_2.jpg","public://news/2018/monali_shah_2.jpg","image/jpeg","","","1539368692","2018","10"
"39884","14134","gary2_1.jpg","public://news/2018/gary2_1.jpg","image/jpeg","","","1539368692","2018","10"
"39885","14136","cai_photo_2.jpg","public://news/2018/cai_photo_2.jpg","image/jpeg","","","1539368692","2018","10"
"39885","14137","kacher_photo_2.png","public://news/2018/kacher_photo_2.png","image/png","","","1539368692","2018","10"
"39897","14149","alex_2.jpg","public://news/2018/alex_2.jpg","image/jpeg","","","1539368692","2018","10"
"39897","14150","ananya_2.jpg","public://news/2018/ananya_2.jpg","image/jpeg","","","1539368692","2018","10"
