"csv_fid","csv_pid","csv_alt","csv_mime","csv_filename","csv_filepath","csv_status","csv_title","csv_date","csv_caption","csv_date_y","csv_date_m"
"18251","4317","","image/jpeg","nae-2018-rev.jpg","public://cta/nae-2018-rev.jpg","Permanent","","1612964866","","2021","02"
"18232","4318","","image/jpeg","131001r381_2.jpg","public://cta/131001r381_2.jpg","Permanent","","1612911986","","2021","02"
"18246","4319","","image/jpeg","nae-logo-header_2.jpg","public://cta/nae-logo-header_2.jpg","Permanent","","1612961497","","2021","02"
"18248","4320","","image/jpeg","nae-logo-header_2.jpg","public://cta/nae-logo-header_2_1.jpg","Permanent","","1612961555","","2021","02"
"18247","4321","","image/jpeg","nae-logo-header_2.jpg","public://cta/nae-logo-header_2_0.jpg","Permanent","","1612961555","","2021","02"
"18250","4331","","image/jpeg","nae-2019-rev.jpg","public://cta/nae-2019-rev.jpg","Permanent","","1612964866","","2021","02"
"18271","4364","","image/jpeg","n3-x_566.jpg","public://cta/n3-x_566.jpg","Permanent","","1613150655","","2021","02"
"18272","4366","","image/jpeg","paul_steffes_000.jpg","public://cta/paul_steffes_000.jpg","Permanent","","1613150844","","2021","02"
"18273","4367","","image/jpeg","original-3_0.jpg","public://cta/original-3_0.jpg","Permanent","","1613150930","","2021","02"
"18274","4368","","image/png","hab_wrs_galley_0.png","public://cta/hab_wrs_galley_0.png","Permanent","","1613151079","","2021","02"
"18276","4372","","image/png","podcast-ep7_promo-feat.png","public://cta/podcast-ep7_promo-feat.png","Permanent","","1613153959","","2021","02"
"18277","4373","","image/png","podcast-web-social_2020s.png","public://cta/podcast-web-social_2020s.png","Permanent","","1613154112","","2021","02"
"18401","4498","","image/jpeg","brettmann_web.jpg","public://cta/brettmann_web.jpg","Permanent","","1616606382","","2021","03"
"18402","4499","","image/jpeg","saha_web.jpg","public://cta/saha_web.jpg","Permanent","","1616606382","","2021","03"
"18450","4566","","image/png","2021_03_graduate_rankings-03.png","public://cta/2021_03_graduate_rankings-03.png","Permanent","","1617109665","","2021","03"
"18451","4568","","image/jpeg","08c1004-p4-066.jpg","public://cta/08c1004-p4-066.jpg","Permanent","","1617109890","","2021","03"
"18452","4569","","image/png","grad-rankings-bme-2022-h.png","public://cta/grad-rankings-bme-2022-h.png","Permanent","","1617110009","","2021","03"
"18453","4570","","image/jpeg","grad_ranking_2021_page_1.jpg","public://cta/grad_ranking_2021_page_1.jpg","Permanent","","1617110160","","2021","03"
"18454","4571","","image/jpeg","08c1004-p4-066.jpg","public://cta/08c1004-p4-066_1.jpg","Permanent","","1617110905","","2021","03"
"18455","4572","","image/jpeg","2022_ae_undergraduate_ranking_announcement_-_1200.jpg","public://cta/2022_ae_undergraduate_ranking_announcement_-_1200.jpg","Permanent","","1617120853","","2021","03"
